tempo_h;X_g_L;S_g_L;P_g_L
0,000000;1,000000;150,000000;0,000000
0,050000;1,008354;149,970164;0,012531
0,100000;1,016778;149,940080;0,025167
0,150000;1,025272;149,909744;0,037908
0,200000;1,033836;149,879155;0,050755
0,250000;1,042473;149,848312;0,063709
0,300000;1,051181;149,817211;0,076771
0,350000;1,059962;149,785851;0,089943
0,400000;1,068816;149,754229;0,103224
0,450000;1,077744;149,722344;0,116616
0,500000;1,086746;149,690193;0,130119
0,550000;1,095823;149,657774;0,143735
0,600000;1,104976;149,625084;0,157465
0,650000;1,114206;149,592122;0,171309
0,700000;1,123512;149,558885;0,185268
0,750000;1,132896;149,525371;0,199344
0,800000;1,142358;149,491578;0,213537
0,850000;1,151899;149,457503;0,227849
0,900000;1,161520;149,423144;0,242280
0,950000;1,171220;149,388499;0,256831
1,000000;1,181002;149,353564;0,271503
1,050000;1,190865;149,318339;0,286298
1,100000;1,200810;149,282820;0,301216
1,150000;1,210839;149,247005;0,316258
1,200000;1,220950;149,210892;0,331425
1,250000;1,231146;149,174477;0,346719
1,300000;1,241427;149,137760;0,362141
1,350000;1,251794;149,100736;0,377691
1,400000;1,262247;149,063403;0,393371
1,450000;1,272787;149,025760;0,409181
1,500000;1,283415;148,987803;0,425123
1,550000;1,294132;148,949530;0,441197
1,600000;1,304937;148,910938;0,457406
1,650000;1,315833;148,872024;0,473750
1,700000;1,326820;148,832786;0,490230
1,750000;1,337898;148,793221;0,506847
1,800000;1,349068;148,753327;0,523603
1,850000;1,360332;148,713100;0,540498
1,900000;1,371689;148,672538;0,557534
1,950000;1,383141;148,631639;0,574712
2,000000;1,394688;148,590399;0,592033
2,050000;1,406332;148,548815;0,609498
2,100000;1,418072;148,506885;0,627108
2,150000;1,429910;148,464606;0,644866
2,200000;1,441847;148,421975;0,662771
2,250000;1,453883;148,378988;0,680825
2,300000;1,466020;148,335644;0,699029
2,350000;1,478257;148,291939;0,717386
2,400000;1,490596;148,247870;0,735894
2,450000;1,503038;148,203434;0,754558
2,500000;1,515584;148,158629;0,773376
2,550000;1,528234;148,113450;0,792351
2,600000;1,540989;148,067895;0,811484
2,650000;1,553851;148,021961;0,830776
2,700000;1,566820;147,975645;0,850229
2,750000;1,579896;147,928943;0,869844
2,800000;1,593081;147,881852;0,889622
2,850000;1,606377;147,834369;0,909565
2,900000;1,619782;147,786492;0,929674
2,950000;1,633300;147,738215;0,949950
3,000000;1,646930;147,689537;0,970394
3,050000;1,660673;147,640454;0,991009
3,100000;1,674530;147,590963;1,011796
3,150000;1,688503;147,541060;1,032755
3,200000;1,702592;147,490741;1,053889
3,250000;1,716799;147,440004;1,075198
