tempo_h;R_X_g_L;R_P_g_L;R_abs_max_g_L
0,000000e+00;0,000000e+00;0,000000e+00;0,000000e+00
5,000000e-02;-1,261144e-15;-1,845746e-15;1,845746e-15
1,000000e-01;3,594347e-15;5,578871e-15;5,578871e-15
1,500000e-01;4,073131e-15;6,016021e-15;6,016021e-15
2,000000e-01;3,282097e-15;4,878042e-15;4,878042e-15
2,500000e-01;6,959711e-15;1,050549e-14;1,050549e-14
3,000000e-01;5,551115e-16;8,187895e-16;8,187895e-16
3,500000e-01;4,496403e-15;6,758483e-15;6,758483e-15
4,000000e-01;3,233525e-15;4,926615e-15;4,926615e-15
4,500000e-01;7,216450e-16;1,290634e-15;1,290634e-15
5,000000e-01;4,496403e-15;6,994405e-15;6,994405e-15
5,500000e-01;1,817990e-15;2,803313e-15;2,803313e-15
6,000000e-01;6,938894e-15;1,065814e-14;1,065814e-14
6,500000e-01;3,996803e-15;6,133982e-15;6,133982e-15
7,000000e-01;6,245005e-15;9,436896e-15;9,436896e-15
7,500000e-01;3,580469e-15;5,356826e-15;5,356826e-15
8,000000e-01;8,215650e-15;1,221245e-14;1,221245e-14
8,500000e-01;6,133982e-15;9,353629e-15;9,353629e-15
9,000000e-01;5,717649e-15;8,576473e-15;8,576473e-15
9,500000e-01;4,524159e-15;6,827872e-15;6,827872e-15
1,000000e+00;6,272760e-15;9,547918e-15;9,547918e-15
1,050000e+00;4,912737e-15;7,271961e-15;7,271961e-15
1,100000e+00;7,299716e-15;1,115774e-14;1,115774e-14
1,150000e+00;3,386180e-15;5,107026e-15;5,107026e-15
1,200000e+00;3,996803e-15;5,995204e-15;5,995204e-15
1,250000e+00;1,032507e-14;1,543210e-14;1,543210e-14
1,300000e+00;5,107026e-15;7,716050e-15;7,716050e-15
1,350000e+00;9,270362e-15;1,415534e-14;1,415534e-14
1,400000e+00;9,714451e-15;1,471046e-14;1,471046e-14
1,450000e+00;6,716849e-15;1,010303e-14;1,010303e-14
1,500000e+00;6,439294e-15;9,992007e-15;9,992007e-15
1,550000e+00;5,662137e-15;8,826273e-15;8,826273e-15
1,600000e+00;6,328271e-15;9,658940e-15;9,658940e-15
1,650000e+00;8,326673e-15;1,254552e-14;1,254552e-14
1,700000e+00;7,605028e-15;1,165734e-14;1,165734e-14
1,750000e+00;1,187939e-14;1,798561e-14;1,798561e-14
1,800000e+00;5,384582e-15;8,104628e-15;8,104628e-15
1,850000e+00;4,551914e-15;6,994405e-15;6,994405e-15
1,900000e+00;5,440093e-15;8,215650e-15;8,215650e-15
1,950000e+00;6,439294e-15;9,769963e-15;9,769963e-15
2,000000e+00;9,381385e-15;1,432188e-14;1,432188e-14
2,050000e+00;1,121325e-14;1,698641e-14;1,698641e-14
2,100000e+00;1,137979e-14;1,720846e-14;1,720846e-14
2,150000e+00;4,551914e-15;6,994405e-15;6,994405e-15
2,200000e+00;4,662937e-15;7,105427e-15;7,105427e-15
2,250000e+00;1,182388e-14;1,798561e-14;1,798561e-14
2,300000e+00;6,272760e-15;9,658940e-15;9,658940e-15
2,350000e+00;1,015854e-14;1,543210e-14;1,543210e-14
2,400000e+00;9,547918e-15;1,443290e-14;1,443290e-14
2,450000e+00;8,548717e-15;1,276756e-14;1,276756e-14
2,500000e+00;6,883383e-15;1,043610e-14;1,043610e-14
2,550000e+00;7,216450e-15;1,099121e-14;1,099121e-14
2,600000e+00;7,105427e-15;1,076916e-14;1,076916e-14
2,650000e+00;7,216450e-15;1,076916e-14;1,076916e-14
2,700000e+00;1,032507e-14;1,565414e-14;1,565414e-14
2,750000e+00;7,882583e-15;1,187939e-14;1,187939e-14
2,800000e+00;9,103829e-15;1,354472e-14;1,354472e-14
2,850000e+00;1,021405e-14;1,509903e-14;1,509903e-14
2,900000e+00;7,771561e-15;1,210143e-14;1,210143e-14
2,950000e+00;4,551914e-15;7,216450e-15;7,216450e-15
3,000000e+00;4,440892e-15;7,216450e-15;7,216450e-15
3,050000e+00;6,439294e-15;1,021405e-14;1,021405e-14
3,100000e+00;2,775558e-15;4,440892e-15;4,440892e-15
3,150000e+00;3,330669e-15;5,107026e-15;5,107026e-15
3,200000e+00;3,330669e-15;5,107026e-15;5,107026e-15
3,250000e+00;7,438494e-15;1,176836e-14;1,176836e-14
3,300000e+00;6,883383e-15;1,065814e-14;1,065814e-14
3,350000e+00;8,881784e-15;1,376677e-14;1,376677e-14
3,400000e+00;7,105427e-15;1,110223e-14;1,110223e-14
3,450000e+00;4,662937e-15;7,105427e-15;7,105427e-15
3,500000e+00;5,662137e-15;8,881784e-15;8,881784e-15
3,550000e+00;8,437695e-15;1,287859e-14;1,287859e-14
3,600000e+00;4,551914e-15;7,105427e-15;7,105427e-15
3,650000e+00;2,664535e-15;4,218847e-15;4,218847e-15
3,700000e+00;5,662137e-15;8,659740e-15;8,659740e-15
3,750000e+00;1,332268e-15;2,220446e-15;2,220446e-15
3,800000e+00;3,885781e-15;5,773160e-15;5,773160e-15
3,850000e+00;3,441691e-15;5,773160e-15;5,773160e-15
3,900000e+00;1,665335e-15;2,886580e-15;2,886580e-15
3,950000e+00;7,993606e-15;1,199041e-14;1,199041e-14
4,000000e+00;2,220446e-15;3,552714e-15;3,552714e-15
4,050000e+00;5,662137e-15;8,659740e-15;8,659740e-15
4,100000e+00;9,547918e-15;1,421085e-14;1,421085e-14
4,150000e+00;4,884981e-15;7,327472e-15;7,327472e-15
4,200000e+00;2,220446e-15;3,552714e-15;3,552714e-15
4,250000e+00;4,662937e-15;7,105427e-15;7,105427e-15
4,300000e+00;5,107026e-15;7,993606e-15;7,993606e-15
4,350000e+00;1,332268e-15;2,886580e-15;2,886580e-15
4,400000e+00;1,776357e-15;3,552714e-15;3,552714e-15
4,450000e+00;-2,220446e-15;-2,442491e-15;2,442491e-15
