tempo_h;X_g_L;S_g_L;P_g_L
0,000000;1,000000;150,000000;0,000000
0,050000;1,011909;149,958359;0,017947
0,100000;1,023962;149,916218;0,036110
0,150000;1,036158;149,873573;0,054490
0,200000;1,048501;149,830417;0,073090
0,250000;1,060991;149,786744;0,091913
0,300000;1,073631;149,742548;0,110962
0,350000;1,086423;149,697822;0,130239
0,400000;1,099368;149,652560;0,149747
0,450000;1,112468;149,606755;0,169489
0,500000;1,125725;149,560401;0,189467
0,550000;1,139142;149,513491;0,209685
0,600000;1,152719;149,466018;0,230146
0,650000;1,166459;149,417976;0,250852
0,700000;1,180364;149,369357;0,271807
0,750000;1,194435;149,320156;0,293013
0,800000;1,208676;149,270363;0,314473
0,850000;1,223088;149,219973;0,336192
0,900000;1,237672;149,168978;0,358170
0,950000;1,252432;149,117371;0,380413
1,000000;1,267369;149,065144;0,402923
1,050000;1,282485;149,012290;0,425703
1,100000;1,297783;148,958801;0,448757
1,150000;1,313265;148,904669;0,472088
1,200000;1,328932;148,849886;0,495699
1,250000;1,344789;148,794446;0,519594
1,300000;1,360835;148,738338;0,543776
1,350000;1,377075;148,681556;0,568249
1,400000;1,393510;148,624092;0,593017
1,450000;1,410142;148,565936;0,618082
1,500000;1,426975;148,507080;0,643448
1,550000;1,444010;148,447517;0,669120
1,600000;1,461250;148,387237;0,695101
1,650000;1,478698;148,326231;0,721394
1,700000;1,496356;148,264491;0,748005
1,750000;1,514226;148,202007;0,774935
1,800000;1,532311;148,138771;0,802190
1,850000;1,550615;148,074773;0,829773
1,900000;1,569139;148,010004;0,857688
1,950000;1,587886;147,944455;0,885940
2,000000;1,606859;147,878116;0,914532
2,050000;1,626061;147,810976;0,943469
2,100000;1,645494;147,743028;0,972755
2,150000;1,665162;147,674259;1,002394
2,200000;1,685067;147,604661;1,032391
2,250000;1,705212;147,534224;1,062750
2,300000;1,725600;147,462936;1,093474
2,350000;1,746235;147,390788;1,124570
2,400000;1,767118;147,317770;1,156041
2,450000;1,788253;147,243869;1,187893
2,500000;1,809644;147,169076;1,220128
2,550000;1,831294;147,093379;1,252754
2,600000;1,853205;147,016767;1,285773
2,650000;1,875380;146,939230;1,319192
2,700000;1,897824;146,860755;1,353015
2,750000;1,920539;146,781331;1,387246
2,800000;1,943529;146,700946;1,421892
2,850000;1,966797;146,619589;1,456957
2,900000;1,990347;146,537247;1,492446
2,950000;2,014182;146,453909;1,528365
3,000000;2,038305;146,369561;1,564719
3,050000;2,062721;146,284192;1,601513
3,100000;2,087432;146,197789;1,638753
3,150000;2,112443;146,110338;1,676444
3,200000;2,137757;146,021828;1,714592
3,250000;2,163378;145,932245;1,753202
3,300000;2,189309;145,841575;1,792281
3,350000;2,215555;145,749806;1,831833
3,400000;2,242120;145,656924;1,871866
3,450000;2,269007;145,562914;1,912384
3,500000;2,296220;145,467763;1,953394
3,550000;2,323763;145,371457;1,994902
3,600000;2,351642;145,273980;2,036914
3,650000;2,379859;145,175320;2,079437
3,700000;2,408418;145,075460;2,122477
3,750000;2,437326;144,974386;2,166040
3,800000;2,466584;144,872083;2,210132
3,850000;2,496199;144,768535;2,254761
3,900000;2,526174;144,663727;2,299934
3,950000;2,556514;144,557644;2,345656
4,000000;2,587223;144,450268;2,391934
4,050000;2,618307;144,341585;2,438777
4,100000;2,649769;144,231578;2,486190
4,150000;2,681614;144,120229;2,534181
4,200000;2,713848;144,007523;2,582758
4,250000;2,746475;143,893443;2,631926
4,300000;2,779500;143,777971;2,681695
4,350000;2,812928;143,661090;2,732070
4,400000;2,846764;143,542782;2,783061
4,450000;2,881014;143,423029;2,834674
4,500000;2,915681;143,301814;2,886918
4,550000;2,950773;143,179117;2,939801
4,600000;2,986293;143,054920;2,993329
4,650000;3,022248;142,929205;3,047513
4,700000;3,058642;142,801951;3,102359
4,750000;3,095482;142,673140;3,157877
4,800000;3,132773;142,542751;3,214074
4,850000;3,170521;142,410766;3,270960
4,900000;3,208731;142,277163;3,328543
4,950000;3,247410;142,141923;3,386831
5,000000;3,286563;142,005025;3,445834
5,050000;3,326196;141,866447;3,505561
5,100000;3,366316;141,726169;3,566021
5,150000;3,406928;141,584168;3,627223
5,200000;3,448039;141,440424;3,689177
5,250000;3,489655;141,294913;3,751892
5,300000;3,531782;141,147615;3,815378
5,350000;3,574428;140,998505;3,879644
5,400000;3,617597;140,847561;3,944701
5,450000;3,661299;140,694760;4,010558
5,500000;3,705538;140,540078;4,077226
5,550000;3,750322;140,383491;4,144715
5,600000;3,795657;140,224974;4,213036
5,650000;3,841552;140,064504;4,282199
5,700000;3,888012;139,902054;4,352215
5,750000;3,935046;139,737600;4,423094
5,800000;3,982661;139,571116;4,494849
5,850000;4,030863;139,402576;4,567490
5,900000;4,079661;139,231953;4,641028
5,950000;4,129063;139,059221;4,715476
6,000000;4,179075;138,884353;4,790844
6,050000;4,229706;138,707322;4,867144
6,100000;4,280964;138,528099;4,944389
6,150000;4,332856;138,346656;5,022591
6,200000;4,385392;138,162965;5,101762
6,250000;4,438579;137,976997;5,181914
6,300000;4,492425;137,788723;5,263060
6,350000;4,546940;137,598113;5,345213
6,400000;4,602131;137,405137;5,428386
6,450000;4,658007;137,209764;5,512592
6,500000;4,714578;137,011964;5,597844
6,550000;4,771853;136,811704;5,684155
6,600000;4,829839;136,608954;5,771541
6,650000;4,888547;136,403680;5,860014
6,700000;4,947987;136,195850;5,949589
6,750000;5,008167;135,985431;6,040279
6,800000;5,069097;135,772388;6,132101
6,850000;5,130787;135,556688;6,225067
6,900000;5,193247;135,338296;6,319194
6,950000;5,256487;135,117177;6,414497
7,000000;5,320517;134,893296;6,510989
7,050000;5,385348;134,666616;6,608689
7,100000;5,450989;134,437101;6,707609
7,150000;5,517452;134,204714;6,807768
