tempo_h;X_g_L;S_g_L;P_g_L
0,000000;1,000000;225,000000;0,000000
0,050000;1,008556;224,969443;0,012834
0,100000;1,017185;224,938626;0,025777
0,150000;1,025888;224,907544;0,038831
0,200000;1,034665;224,876197;0,051997
0,250000;1,043517;224,844582;0,065275
0,300000;1,052445;224,812697;0,078667
0,350000;1,061449;224,780539;0,092174
0,400000;1,070530;224,748106;0,105795
0,450000;1,079689;224,715396;0,119533
0,500000;1,088926;224,682407;0,133389
0,550000;1,098242;224,649135;0,147363
0,600000;1,107638;224,615579;0,161457
0,650000;1,117114;224,581736;0,175671
0,700000;1,126671;224,547604;0,190006
0,750000;1,136309;224,513180;0,204464
0,800000;1,146031;224,478462;0,219046
0,850000;1,155835;224,443447;0,233752
0,900000;1,165723;224,408133;0,248584
0,950000;1,175695;224,372517;0,263543
1,000000;1,185753;224,336597;0,278629
1,050000;1,195897;224,300369;0,293845
1,100000;1,206127;224,263832;0,309190
1,150000;1,216445;224,226983;0,324667
1,200000;1,226851;224,189819;0,340276
1,250000;1,237346;224,152337;0,356018
1,300000;1,247930;224,114535;0,371895
1,350000;1,258605;224,076410;0,387908
1,400000;1,269371;224,037959;0,404057
1,450000;1,280230;223,999179;0,420345
1,500000;1,291181;223,960068;0,436771
1,550000;1,302226;223,920623;0,453338
1,600000;1,313365;223,880841;0,470047
1,650000;1,324599;223,840719;0,486898
1,700000;1,335929;223,800254;0,503894
1,750000;1,347356;223,759443;0,521034
1,800000;1,358881;223,718283;0,538321
1,850000;1,370504;223,676772;0,555756
1,900000;1,382226;223,634906;0,573340
1,950000;1,394049;223,592682;0,591074
2,000000;1,405973;223,550098;0,608959
2,050000;1,417998;223,507149;0,626997
2,100000;1,430126;223,463834;0,645190
2,150000;1,442358;223,420149;0,663537
2,200000;1,454695;223,376091;0,682042
2,250000;1,467136;223,331656;0,700705
2,300000;1,479684;223,286841;0,719527
2,350000;1,492340;223,241644;0,738509
2,400000;1,505103;223,196061;0,757654
2,450000;1,517975;223,150088;0,776963
2,500000;1,530958;223,103723;0,796437
2,550000;1,544051;223,056961;0,816076
2,600000;1,557256;223,009800;0,835884
2,650000;1,570574;222,962236;0,855861
2,700000;1,584006;222,914266;0,876008
2,750000;1,597552;222,865886;0,896328
2,800000;1,611214;222,817093;0,916821
2,850000;1,624993;222,767883;0,937489
2,900000;1,638889;222,718253;0,958334
2,950000;1,652904;222,668199;0,979356
3,000000;1,667039;222,617717;1,000559
3,050000;1,681295;222,566805;1,021942
3,100000;1,695672;222,515457;1,043508
3,150000;1,710172;222,463671;1,065258
3,200000;1,724796;222,411443;1,087194
3,250000;1,739545;222,358769;1,109317
3,300000;1,754419;222,305645;1,131629
3,350000;1,769421;222,252067;1,154132
3,400000;1,784551;222,198032;1,176827
3,450000;1,799810;222,143536;1,199715
3,500000;1,815199;222,088574;1,222799
3,550000;1,830720;222,033143;1,246080
3,600000;1,846373;221,977239;1,269560
3,650000;1,862160;221,920857;1,293240
3,700000;1,878082;221,863994;1,317122
3,750000;1,894139;221,806646;1,341209
3,800000;1,910334;221,748808;1,365501
3,850000;1,926667;221,690476;1,390000
3,900000;1,943139;221,631646;1,414709
3,950000;1,959752;221,572314;1,439628
4,000000;1,976507;221,512476;1,464760
4,050000;1,993405;221,452127;1,490107
4,100000;2,010447;221,391262;1,515670
4,150000;2,027634;221,329878;1,541451
4,200000;2,044968;221,267971;1,567452
4,250000;2,062450;221,205534;1,593676
4,300000;2,080082;221,142565;1,620123
4,350000;2,097864;221,079059;1,646795
4,400000;2,115797;221,015010;1,673696
4,450000;2,133884;220,950415;1,700826
4,500000;2,152125;220,885268;1,728187
4,550000;2,170522;220,819566;1,755782
4,600000;2,189075;220,753303;1,783613
4,650000;2,207787;220,686475;1,811681
4,700000;2,226659;220,619076;1,839988
4,750000;2,245691;220,551102;1,868537
4,800000;2,264886;220,482549;1,897329
4,850000;2,284245;220,413410;1,926368
4,900000;2,303769;220,343682;1,955653
