tempo_h;X_g_L;S_g_L;P_g_L
0,000000;2,000000;150,000000;0,000000
0,050000;2,016708;149,940329;0,025062
0,100000;2,033555;149,880161;0,050333
0,150000;2,050542;149,819492;0,075813
0,200000;2,067671;149,758318;0,101507
0,250000;2,084942;149,696635;0,127413
0,300000;2,102357;149,634438;0,153536
0,350000;2,119917;149,571724;0,179876
0,400000;2,137623;149,508488;0,206435
0,450000;2,155477;149,444725;0,233215
0,500000;2,173479;149,380432;0,260219
0,550000;2,191631;149,315604;0,287446
0,600000;2,209934;149,250237;0,314901
0,650000;2,228389;149,184325;0,342583
0,700000;2,246998;149,117866;0,370496
0,750000;2,265761;149,050853;0,398642
0,800000;2,284681;148,983284;0,427021
0,850000;2,303757;148,915152;0,455636
0,900000;2,322993;148,846453;0,484490
0,950000;2,342389;148,777184;0,513583
1,000000;2,361945;148,707338;0,542918
1,050000;2,381665;148,636911;0,572497
1,100000;2,401548;148,565899;0,602322
1,150000;2,421597;148,494296;0,632395
1,200000;2,441812;148,422099;0,662719
1,250000;2,462196;148,349301;0,693294
1,300000;2,482749;148,275897;0,724123
1,350000;2,503472;148,201884;0,755209
1,400000;2,524368;148,127256;0,786553
1,450000;2,545438;148,052007;0,818157
1,500000;2,566683;147,976133;0,850024
1,550000;2,588104;147,899629;0,882156
1,600000;2,609703;147,822489;0,914555
1,650000;2,631482;147,744709;0,947222
1,700000;2,653441;147,666282;0,980162
1,750000;2,675583;147,587204;1,013375
1,800000;2,697909;147,507469;1,046863
1,850000;2,720420;147,427071;1,080630
1,900000;2,743118;147,346007;1,114677
1,950000;2,766005;147,264269;1,149007
2,000000;2,789081;147,181852;1,183622
2,050000;2,812350;147,098751;1,218525
2,100000;2,835811;147,014960;1,253717
2,150000;2,859467;146,930474;1,289201
2,200000;2,883320;146,845287;1,324980
2,250000;2,907370;146,759392;1,361055
2,300000;2,931620;146,672785;1,397430
2,350000;2,956071;146,585459;1,434107
2,400000;2,980726;146,497409;1,471088
2,450000;3,005584;146,408628;1,508376
2,500000;3,030649;146,319110;1,545974
2,550000;3,055922;146,228850;1,583883
2,600000;3,081404;146,137841;1,622107
2,650000;3,107098;146,046078;1,660647
2,700000;3,133005;145,953554;1,699507
2,750000;3,159127;145,860262;1,738690
2,800000;3,185465;145,766197;1,778197
2,850000;3,212021;145,671353;1,818032
2,900000;3,238798;145,575722;1,858197
2,950000;3,265796;145,479299;1,898694
